device_id,packet_size,duration,orig_bytes,resp_bytes,is_anomaly
8,0,3.139211,0,0,False
8,0,0.0,0,0,False
8,0,0.0,0,0,False
8,128401,1.477656,149,128252,False
8,0,3.147116,0,0,False
8,128499,1.305004,151,128348,False
8,92109,1.004605,148,91961,False
8,99451,4.129647,148,99303,False
8,0,3.114215,0,0,False
8,0,0.0,0,0,False
8,0,0.0,0,0,False
8,96,0.001496,48,48,False
8,0,0.0,0,0,False
8,0,0.0,0,0,False
8,96,0.001495,48,48,False
8,0,3.158705,0,0,False
8,0,0.0,0,0,False
8,0,0.0,0,0,False
8,0,0.0,0,0,False
8,0,0.0,0,0,False
8,96,0.001495,48,48,False
8,0,0.0,0,0,False
8,0,0.0,0,0,False
8,96,0.014232,48,48,False
8,164417,2.299441,151,164266,False
8,0,3.107733,0,0,True
8,0,3.136227,0,0,False
8,0,0.0,0,0,False
8,0,0.0,0,0,False
8,96,0.001748,48,48,False
8,0,0.0,0,0,False
8,0,0.0,0,0,False
8,0,0.0,0,0,False
8,96,0.11543,48,48,False
8,0,0.0,0,0,False
8,0,3.158698,0,0,False
8,0,0.0,0,0,False
8,0,0.0,0,0,False
8,0,0.0,0,0,False
8,96,0.068707,48,48,False
8,0,0.0,0,0,False
35,18144,502.919185,952,17192,False
8,0,0.0,0,0,False
8,96,0.005231,48,48,False
8,96,0.010235,48,48,False
8,0,3.118724,0,0,False
8,124218,1.22805,151,124067,False
8,0,3.093744,0,0,False
8,0,3.097488,0,0,True
8,0,0.0,0,0,False
8,0,0.0,0,0,True
8,0,0.0,0,0,False
8,0,3.124484,0,0,True
8,96,0.001496,48,48,False
8,0,0.0,0,0,True
8,0,3.122724,0,0,True
8,0,0.0,0,0,False
8,0,0.0,0,0,True
8,0,3.120734,0,0,True
8,0,0.0,0,0,True
8,0,3.118725,0,0,True
8,0,0.0,0,0,True
8,0,3.116726,0,0,True
8,0,0.0,0,0,False
8,0,3.115707,0,0,True
8,0,0.0,0,0,True
8,0,3.113737,0,0,True
8,0,0.0,0,0,True
8,0,3.111728,0,0,True
8,0,0.0,0,0,True
8,96,0.001498,48,48,False
8,0,3.109484,0,0,True
8,0,0.0,0,0,True
8,0,3.107231,0,0,True
8,0,0.0,0,0,True
8,0,3.105229,0,0,True
8,0,0.0,0,0,True
8,0,3.103231,0,0,True
8,0,0.0,0,0,True
8,0,3.158703,0,0,False
8,0,0.0,0,0,False
8,0,3.101231,0,0,True
8,84741,0.885992,149,84592,False
8,0,3.107729,0,0,False
8,0,0.0,0,0,True
8,0,3.098977,0,0,True
8,0,0.0,0,0,False
8,0,0.0,0,0,True
8,0,3.096735,0,0,True
8,0,0.0,0,0,False
8,96,0.073952,48,48,False
8,0,0.0,0,0,True
8,0,3.094737,0,0,True
8,0,0.0,0,0,True
8,0,0.0,0,0,False
8,0,3.092739,0,0,True
8,0,0.0,0,0,True
8,0,3.094738,0,0,True
8,0,0.0,0,0,True
8,0,0.0,0,0,False
8,0,3.092739,0,0,True
8,0,0.0,0,0,False
8,0,0.0,0,0,True
8,0,3.090486,0,0,True
8,0,0.0,0,0,True
8,0,3.088476,0,0,True
8,96,0.023984,48,48,False
8,0,0.0,0,0,True
8,0,3.107985,0,0,True
8,0,0.0,0,0,True
8,0,3.112743,0,0,True
8,0,0.0,0,0,True
8,0,3.095254,0,0,True
8,0,0.0,0,0,False
8,0,3.107988,0,0,True
8,0,3.158697,0,0,False
8,0,0.0,0,0,True
8,0,0.0,0,0,False
8,0,3.105976,0,0,True
8,0,0.0,0,0,True
8,0,0.0,0,0,False
8,96,0.001484,48,48,False
8,318,1.128098,75,243,True
8,0,3.103981,0,0,True
8,0,0.0,0,0,True
8,0,0.0,0,0,False
8,0,3.083745,0,0,True
8,318,1.484655,75,243,True
8,318,4.095418,75,243,True
8,0,0.0,0,0,True
8,0,3.081995,0,0,True
8,0,0.0,0,0,True
8,0,3.1597,0,0,True
8,0,0.0,0,0,True
8,0,0.0,0,0,False
8,0,3.095753,0,0,True
8,0,0.0,0,0,True
8,0,3.093494,0,0,True
8,96,0.001746,48,48,False
8,318,1.329994,75,243,True
8,0,0.0,0,0,True
8,0,3.091487,0,0,True
8,0,0.0,0,0,False
8,0,0.0,0,0,False
8,0,0.0,0,0,True
8,0,3.089256,0,0,True
8,0,0.0,0,0,True
8,0,3.087235,0,0,True
8,0,3.109975,0,0,True
8,0,0.0,0,0,True
8,0,3.107967,0,0,True
8,0,3.118724,0,0,False
8,0,0.0,0,0,True
8,0,3.105494,0,0,True
8,0,0.0,0,0,False
8,0,0.0,0,0,True
8,96,0.001498,48,48,False
8,0,0.0,0,0,False
8,0,3.144719,0,0,True
8,0,0.0,0,0,False
8,0,0.0,0,0,True
8,0,3.142724,0,0,True
8,0,0.0,0,0,False
8,0,0.0,0,0,True
8,0,3.140713,0,0,True
8,0,0.0,0,0,True
8,0,3.138715,0,0,True
8,0,0.0,0,0,True
8,0,3.136714,0,0,True
8,100330,1.143354,152,100178,False
8,0,3.118474,0,0,True
8,83941,1.958139,149,83792,False
8,318,1.080627,75,243,True
8,316,1.105621,74,242,True
8,103530,4.16038,149,103381,False
8,0,3.118976,0,0,False
8,318,4.562408,75,243,True
8,0,3.106482,0,0,True
8,318,2.141281,75,243,True
8,0,0.0,0,0,False
8,96,0.046954,48,48,False
8,0,0.0,0,0,True
8,0,3.104485,0,0,True
8,0,0.0,0,0,False
8,0,0.0,0,0,False
8,0,0.0,0,0,True
8,0,3.102483,0,0,True
8,0,0.0,0,0,True
8,0,0.0,0,0,False
8,0,3.12773,0,0,True
8,0,0.0,0,0,True
8,318,2.106538,75,243,True
8,0,3.125718,0,0,True
8,0,0.0,0,0,True
8,316,1.085384,74,242,True
8,318,1.085865,75,243,True
8,318,2.080571,75,243,True
8,318,1.102625,75,243,True
8,0,3.104984,0,0,True
8,318,1.108372,75,243,True
8,0,0.0,0,0,False
8,0,0.0,0,0,True
8,0,3.102734,0,0,True
8,318,1.103122,75,243,True
8,318,1.080627,75,243,True
8,96,0.001494,48,48,False
8,318,1.136107,75,243,True
8,318,2.111047,75,243,True
8,0,0.0,0,0,True
8,0,3.100741,0,0,True
8,318,0.939867,75,243,True
8,0,0.0,0,0,True
8,0,3.098492,0,0,True
8,0,0.0,0,0,True
8,0,3.096478,0,0,True
8,0,0.0,0,0,True
8,0,3.094494,0,0,True
8,0,0.0,0,0,True
